llave,imdbtitle,imdbyear
lastmim07imzy,The Last Mimzy,2007
lastmog05ogul,The Last Mogul,2005
lastmou11tain,The Last Mountain,2011
lastnig10ghti,Last Night,2010
lastofr13hood,The Last of Robin Hood,2013
lastord01ders,Last Orders,2001
lastoun12rage,Last Ounce of Courage,2012
lastpas13nger,Last Passenger,2013
lastrad06levi,La strada di Levi,2006
lastrat12ette,La stratégie de la poussette,2012
lastres00sort,Last Resort,2000
lastrid09ride,Last Ride,2009
lastrid11rthe,The Last Ride,2011
lastsam03urai,The Last Samurai,2003
lastsep99mber,The Last September,1999
lastsho04shot,The Last Shot,2004
lastsin07ater,The Last Sin Eater,2007
lastson10song,The Last Song,2010
laststa09tion,The Last Station,2009
laststa13tand,The Last Stand,2013
laststo06paul,Last Stop for Paul,2006
lastveg13egas,Last Vegas,2013
lastwee14kend,Last Weekend,2014
lastwin06nter,The Last Winter,2006
lastwit15nter,The Last Witch Hunter,2015
latdenr08main,Låt den rätte komma in,2008
latequa12rtet,A Late Quartet,2012
laterza07adre,La terza madre,2007
latetaa09tada,La teta asustada,2009
latetee10iche,La tête en friche,2010
lateteh15aute,La tête haute,2015
latigre05neve,La tigre e la neve,2005
latourn06ages,La tourneuse de pages,2006
latterd03days,Latter Days,2003
laurasm05iles,Laura Smiles,2005
laurelc02nyon,Laurel Canyon,2002
lavenus13rure,La Vénus à la fourrure,2013
laveuve00erre,La veuve de Saint-Pierre,2000
lavied'13dele,La vie d'Adèle,2013
laviepr02mise,La vie promise,2002
laville00ille,La ville est tranquille,2000
lavirge00rios,La virgen de los sicarios,2000
lawabid09izen,Law Abiding Citizen,2009
lawless01eart,Lawless Heart,2001
lawless12less,Lawless,2012
lawsofa04tion,Laws of Attraction,2004
layerca04cake,Layer Cake,2004
laythef12rite,Lay the Favorite,2012
lazarus15fect,The Lazarus Effect,2015
lazerte15team,Lazer Team,2015
lbs.04lbs.,Lbs.,2004
leagueo03emen,The League of Extraordinary Gentlemen,2003
leagueo04eord,A League of Ordinary Gentlemen,2004
leapyea10year,Leap Year,2010
learnin14rive,Learning to Drive,2014
leastam12ints,Least Among Saints,2012
leather08eads,Leatherheads,2008
leaveso09rass,Leaves of Grass,2009
"lebanon,10pa.","Lebanon, Pa.",2010
lebanon09anon,Lebanon,2009
lebatte00llon,Le battement d'ailes du papillon,2000
lebossu97ossu,Le bossu,1997
lecapit12ital,Le capital,2012
lecaspi01chet,Le cas Pinochet,2001
lechatd11bbin,Le chat du rabbin,2011
lechiav04casa,Le chiavi di casa,2004
leclan04clan,Le clan,2004
lecodea09ange,Le code a changé,2009
leconce09cert,Le concert,2009
lecousi72ules,Le cousin Jules,1972
ledamed15usil,La dame dans l'auto avec des lunettes et un fusil,2015
lederni13stes,Le dernier des injustes,2013
lederni15loup,Le dernier loup,2015
ledge11edge,The Ledge,2011
ledivor03orce,Le divorce,2003
lefabu01lain,Le fabuleux destin d'Amélie Poulain,2001
lefatei01anti,Le fate ignoranti,2001
lefils02fils,Le fils,2002
lefilsd12utre,Le fils de l'autre,2012
lefilsd16seph,Le fils de Joseph,2016
lefondd77ouge,Le fond de l'air est rouge,1977
leftbeh01hind,Left Behind,2000
leftbeh14indi,Left Behind,2014
leftlug98gage,Left Luggage,1998
legally01onde,Legally Blonde,2001
legally03onde,"Legally Blonde 2: Red, White & Blonde",2003
legamin11velo,Le gamin au vélo,2011
legenda10dary,Legendary,2010
legendi15endi,Legend,2015
legendo00ance,The Legend of Bagger Vance,2000
legendo02wery,The Legend of Leigh Bowery,2002
legendo05orro,The Legend of Zorro,2005
legendo09male,The Legend of Pale Male,2009
legendo10oole,Legend of the Guardians: The Owls of Ga'Hoole,2010
legendo14ules,The Legend of Hercules,2014
legendo15mson,The Legend of Barney Thomson,2015
legendo16rzan,The Legend of Tarzan,2016
legends13turn,Legends of Oz: Dorothy's Return,2013
legion10gion,Legion,2010
legobri14tary,A Lego Brickumentary,2014
legomov14ovie,The Lego Movie,2014
legoutd00tres,Le goût des autres,2000
legrand04role,Le grand rôle,2004
legrand14omme,Le grand homme,2014
lehavre11avre,Le Havre,2011
leheris09sson,Le hérisson,2009
lejoura13ndra,Le jour attendra,2013
lemalee12alal,Lemale et ha'halal,2012
lemerav14glie,Le meraviglie,2014
lemming06ming,Lemming,2005
lemoine11oine,Le moine,2011
lenomde10gens,Le nom des gens,2010
leonard05rman,Leonard Cohen: I'm Your Man,2005
leonie10onie,Leonie,2010
lepacte01oups,Le pacte des loups,2001
lepapil02loni,Le papillon,2002
lepasse13asse,Le passé,2013
lepered09ants,Le père de mes enfants,2009
lepetit05nant,Le petit lieutenant,2005
lepeupl01teur,Le peuple migrateur,2001
leplaca01card,Le placard,2001
lepreno12enom,Le prénom,2012
lequatt10olte,Le quattro volte,2010
lerefug09fuge,Le refuge,2009
leregne14aute,Le règne de la beauté,2014
leroiet80seau,Le roi et l'oiseau,1980
lesaide12eine,Les adieux à la reine,2012
lesamit06ques,Les amitiés maléfiques,2006
lesamou10ires,Les amours imaginaires,2010
lesange06eurs,Les anges exterminateurs,2006
lesbien11imes,Les bien-aimés,2011
lesbles00ines,Les blessures assassines,2000
lescaph07llon,Le scaphandre et le papillon,2007
leschan07mour,Les chansons d'amour,2007
leschev12dieu,Les chevaux de Dieu,2012
leschor04stes,Les choristes,2004
lescomb14ants,Les combattants,2014
lescont11nuit,Les contes de la nuit,2011
lescowb15boys,Les cowboys,2015
lesdest00ales,Les destinées sentimentales,2000
lesecre10anda,Le secret de Chanda,2010
lesegar03ares,Les égarés,2003
lesenfa99ecle,Les enfants du siècle,1999
lesfill00ager,Les filles ne savent pas nager,2000
lesglan00euse,Les glaneurs et la glaneuse,2000
lesherb09lles,Les herbes folles,2009
leshomm11bres,Les hommes libres,2011
lesilen08orna,Le silence de Lorna,2008
lesinfi12eles,Les infidèles,2012
lesinno16ntes,Les innocentes,2016
lesinva03ares,Les invasions barbares,2003
lesmise12bles,Les Misérables,2012
lesnuit84lune,Les nuits de la pleine lune,1984
lespeti10oirs,Les petits mouchoirs,2010
lesplag08gnes,Les plages d'Agnès,2008
lespoup05sses,Les poupées russes,2005
lesrivi00pres,Les rivières pourpres,2000
lessais15sons,Les saisons,2015
lessala13auds,Les salauds,2013
lessave12lais,Les saveurs du Palais,2012
lesserb12ssed,The Lesser Blessed,2012
lesson15sson,The Lesson,2015
lestemo07oins,Les témoins,2007
lestemp04gent,Les temps qui changent,2004
lestrip03ille,Les triplettes de Belleville,2003
let'sbe14cops,Let's Be Cops,2014
let'sge04rank,Let's Get Frank,2003
let'sgo06ison,Let's Go to Prison,2006
letable11leau,Le tableau,2011
letemps03loup,Le temps du loup,2003
letemps05este,Le temps qui reste,2005
letemps13ture,Le temps de l'aventure,2013
letemps99oust,"Le temps retrouvé, d'après l'oeuvre de Marcel Proust",1999
letmein10eini,Let Me In,2010
letmype11ego!,Let My People Go!,2011
letoutn15ment,Le tout nouveau testament,2015
letter:03ion',The Letter: An American Town and the 'Somali Invasion',2003
letters06jima,Letters from Iwo Jima,2006
letters10liet,Letters to Juliet,2010
letters10ogod,Letters to God,2010
letters14rsii,The Letters,2014
lettert04true,A Letter to True,2004
letthef13burn,Let the Fire Burn,2013
levelfi97five,Level Five,1997
levelup16lupi,Level Up,2016
leviafa14afan,Leviafan,2014
leviath12hani,Leviathan,2012
levitat13mass,Levitated Mass,2013
levity03vity,Levity,2003
levoyag07ouge,Le voyage du ballon rouge,2007
leweek-13-end,Le Week-End,2013
li'lqui15quin,P'tit Quinquin,2014
liam00liam,Liam,2000
liar'sa12pman,A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman,2012
liberal12arts,Liberal Arts,2012
liberta13ador,Libertador,2013
liberti04tine,The Libertine,2004
license07owed,License to Wed,2007
liei11liei,The Lie,2011
"life,an16ated","Life, Animated",2016
life'sa13eeze,Life's a Breeze,2013
lifeaft14beth,Life After Beth,2014
lifeand01debt,Life and Debt,2001
lifeand14iest,The Life and Mind of Mark DeFriest,2014
lifeaqu04ssou,The Life Aquatic with Steve Zissou,2004
lifeasa01ouse,Life as a House,2001
lifeasw10owit,Life as We Know It,2010
lifebef07eyes,The Life Before Her Eyes,2007
lifedur09time,Life During Wartime,2009
lifegua13uard,The Lifeguard,2013
lifei15ifei,Life,2015
lifeina11aday,Life in a Day,2011
lifeits14self,Life Itself,2014
lifeofa13king,Life of a King,2013
lifeofc13rime,Life of Crime,2013
lifeofd03gale,The Life of David Gale,2003
lifeofp12ofpi,Life of Pi,2012
lifeofr06illy,The Life of Reilly,2006
lifeors02keit,Life or Something Like It,2002
lifepar14ners,Life Partners,2014
lightbe16eans,The Light Between Oceans,2016
lightni04ttle,Lightning in a Bottle,2004
lightso16utii,Lights Out,2016
likecra11razy,Like Crazy,2011
likemik02mike,Like Mike,2002
likesom12love,Like Someone in Love,2012
likesun14rain,"Like Sunday, Like Rain",2014
"lila,li09lila","Lila, Lila",2009
lila&ev15&eve,Lila & Eve,2015
liladit04itca,Lila dit ça,2004
lilja4-02ever,Lilja 4-ever,2002
lilo&st02itch,Lilo & Stitch,2002
lilting14ting,Lilting,2014
limelig11ight,Limelight,2011
limitle11essi,Limitless,2011
limitso09trol,The Limits of Control,2009
lincoln11wyer,The Lincoln Lawyer,2011
lincoln12coln,Lincoln,2012
lineofd13duty,Line of Duty,2013
linsani13nity,Linsanity,2013
lion16lion,Lion,2016
lionsfo07ambs,Lions for Lambs,2007
listen14ning,Listening,2014
listent15rlon,Listen to Me Marlon,2015
listenu14ilip,Listen Up Philip,2014
littlea08shes,Little Ashes,2008
littlea14ents,Little Accidents,2014
littleb04book,Little Black Book,2004
littleb11aven,A Little Bit of Heaven,2011
littleb11irds,Little Birds,2011
littleb15eboy,Little Boy,2015
littlec06dren,Little Children,2006
littlec14haos,A Little Chaos,2014
littled14eath,The Little Death,2014
littlef05fish,Little Fish,2005
littlef10kers,Little Fockers,2010
littleh10help,A Little Help,2010
littlem05ttan,Little Manhattan,2005
littlem06eman,Littleman,2006
littlem06hine,Little Miss Sunshine,2006
littlem16emen,Little Men,2016
littlen00icky,Little Nicky,2000
littlep15ncei,The Little Prince,2015
littler10rock,Littlerock,2010
littles01rets,Little Secrets,2001
littlet07itor,The Little Traitor,2007
littlev00pire,The Little Vampire,2000
liv&ing12gmar,Liv & Ingmar,2012
livebyn16ight,Live by Night,2016
livefre06rdie,Live Free or Die,2006
livefre07hard,Live Free or Die Hard,2007
livefro15ork!,Live from New York!,2015
living14ving,The Living,2014
livingi08ency,Living in Emergency,2008
livingw07wake,The Living Wake,2007
lizziem03ovie,The Lizzie McGuire Movie,2003
loandbe16orld,"Lo and Behold, Reveries of the Connected World",2016
lobster15ster,The Lobster,2015
localco06olor,Local Color,2006
locke13ocke,Locke,2013
locker114er13,Locker 13,2014
lockout12kout,Lockout,2012
loft14loft,The Loft,2014
logan10ogan,Logan,2010
loggerh05eads,Loggerheads,2005
loimpos12ible,Lo imposible,2012
loindes14mmes,Loin des hommes,2014
lolaver12rsus,Lola Versus,2012
lolo15lolo,Lolo,2015
londonb10vard,London Boulevard,2010
londonh16llen,London Has Fallen,2016
londoni05doni,London,2005
londonr09iver,London River,2009
londont06hton,London to Brighton,2006
loneli11anet,The Loneliest Planet,2011
lonelyh06arts,Lonely Hearts,2006
loneran13nger,The Lone Ranger,2013
lonesom05ejim,Lonesome Jim,2005
lonesur13ivor,Lone Survivor,2013
longest05yard,The Longest Yard,2005
longest15ride,The Longest Ride,2015
longmen11ijia,Long men fei jia,2011
longnig00oday,Long Night's Journey Into Day,2000
longsho08hots,The Longshots,2008
longsho12tory,Long Shot: The Kevin Laue Story,2012
longway14down,A Long Way Down,2014
longwee05kend,The Long Weekend,2005
look07look,Look,2007
lookali14like,The Lookalike,2014
lookbot05ways,Look Both Ways,2005
looking00echo,Looking for an Echo,2000
looking02lian,Looking Through Lillian,2002
looking04itty,Looking for Kitty,2004
looking05orld,Looking for Comedy in the Muslim World,2005
looking08adin,Looking for Palladin,2008
looking09eric,Looking for Eric,2009
looking15lass,The Looking Glass,2015
lookofl13love,The Look of Love,2013
lookofs14ence,The Look of Silence,2014
lookout07kout,The Lookout,2007
looneyt03tion,Looney Tunes: Back in Action,2003
loongbo10chat,Loong Boonmee raleuk chat,2010
looper12oper,Looper,2012
loosies11sies,Loosies,2011
lorax12orax,The Lorax,2012
lordoft01ring,The Lord of the Rings: The Fellowship of the Ring,2001
lordoft02wers,The Lord of the Rings: The Two Towers,2002
lordoft03king,The Lord of the Rings: The Return of the King,2003
lordofw05fwar,Lord of War,2005
lordsof05town,Lords of Dogtown,2005
lordsof12alem,The Lords of Salem,2012
lore12lore,Lore,2012
loreak14reak,Loreak,2014
losabra09otos,Los abrazos rotos,2009
losaman13eros,Los amantes pasajeros,2013
losange03self,Los Angeles Plays Itself,2003
loscron07enes,Los cronocrímenes,2007
loser00oser,Loser,2000
losersi10ersi,The Losers,2010
losingc11trol,Losing Control,2011
losinso13gato,Los insólitos peces gato,2013
loslune02lsol,Los lunes al sol,2002
losmuer04rtos,Los muertos,2004
losnovi03aros,Los novios búlgaros,2003
lostand01ious,Lost and Delirious,2001
lostand12enia,Lost and Found in Armenia,2012
lostarc15cade,The Lost Arcade,2015
lostboh10emia,Lost Bohemia,2010
lostboy03udan,Lost Boys of Sudan,2003
lostcit05city,The Lost City,2005
lostinl02ncha,Lost in La Mancha,2002
lostint03tion,Lost in Translation,2003
lostmed13tone,The Lost Medallion: The Adventures of Billy Stone,2013
lostriv14iver,Lost River,2014
lostske01avra,The Lost Skeleton of Cadavra,2001
lostsou00ouls,Lost Souls,2000
lotlike05love,A Lot Like Love,2005
lottery10keti,Lottery Ticket,2010
lottery10tery,The Lottery,2010
lotusea11rsii,Lotus Eaters,2011
loudert10bomb,Louder Than a Bomb,2010
loudert13dsii,Louder Than Words,2013
loudert15ombs,Louder Than Bombs,2015
loudqui06xies,loudQUIETloud: A Film About the Pixies,2006
"love,ho00obey","Love, Honour and Obey",2000
"love,ma12ilyn","Love, Marilyn",2012
"love,ro14osie","Love, Rosie",2014
"love,we11iage","Love, Wedding, Marriage",2011
love'sl00lost,Love's Labour's Lost,2000
love&ba00ball,Love & Basketball,2000
love&fr16ship,Love & Friendship,2016
love&me14ercy,Love & Mercy,2014
love&ot10rugs,Love & Other Drugs,2010
love&se00&sex,Love & Sex,2000
loveand09uits,Love and Other Impossible Pursuits,2009
loveand13onor,Love and Honor,2013
lovedon03hing,Love Don't Cost a Thing,2003
lovegur08guru,The Love Guru,2008
lovehap09pens,Love Happens,2009
loveii15veii,Love,2015
loveint02oney,Love in the Time of Money,2002
loveint07lera,Love in the Time of Cholera,2007
loveisi04eair,Love Is in the Air,2004
loveiss14ange,Love Is Strange,2014
lovelac13lace,Lovelace,2013
loveliv15ovie,Love Live! The School Idol Movie,2015
loveliz02liza,Love Liza,2002
"lovely,08till","Lovely, Still",2008
lovely&01zing,Lovely & Amazing,2001
lovelyb09ones,The Lovely Bones,2009
lovelym11olly,Lovely Molly,2011
loven'd09cing,Love N' Dancing,2009
loveobj03ject,Love Object,2003
lovepun13unch,The Love Punch,2013
loveran10anch,Love Ranch,2010
loverbo05rboy,Loverboy,2005
lovers&16spot,The Lovers & the Despot,2016
loveson04long,A Love Song for Bobby Long,2004
lovethe01dway,Love the Hard Way,2001
lovethe15pers,Love the Coopers,2015
lovethy14ture,Love Thy Nature,2014
lovewit16itch,The Love Witch,2016
loving16ving,Loving,2016
lovingj99ebel,Loving Jezebel,1999
lovings11tory,The Loving Story,2011
lowdown14down,Low Down,2014
lowerle08ning,Lower Learning,2008
lubiany15ecan,Lu bian ye can,2015
lucaodi05aodi,Lü cao di,2005
luchame16xico,Lucha Mexico,2016
luciaye01sexo,Lucía y el sexo,2001
luckbyc09ance,Luck by Chance,2009
luckybr01reak,Lucky Break,2001
luckyii11yiii,Lucky,2011
luckynu00bers,Lucky Numbers,2000
luckynu06evin,Lucky Number Slevin,2006
luckyon08ones,The Lucky Ones,2008
luckyon12yone,The Lucky One,2012
luckyth13them,Lucky Them,2013
luckyyo07yyou,Lucky You,2007
lucyi14ucyi,Lucy,2014
"lula,of09asil","Lula, o Filho do Brasil",2009
lullaby14byii,Lullaby,2014
luminar00rias,Luminarias,2000
lumumba00umba,Lumumba,2000
luomand16gshi,Luo man di ke xiao wang shi,2016
lustlo09gdes,Luftslottet som sprängdes,2009
luv12luv,LUV,2012
luzhind00ence,The Luzhin Defence,2000
lymelif08life,Lymelife,2008
m.s.dho16tory,M.S. Dhoni: The Untold Story,2016
ma-seu-16-teo,Ma-seu-teo,2016
macbeth06ethi,Macbeth,2006
macbeth15beth,Macbeth,2015
macgrub10uber,MacGruber,2010
machete10hete,Machete,2010
machete13ills,Machete Kills,2013
machine11cher,Machine Gun Preacher,2011
machini04nist,The Machinist,2004
machuca04huca,Machuca,2004
madagas05scar,Madagascar,2005
madagas08rica,Madagascar: Escape 2 Africa,2008
madagas12nted,Madagascar 3: Europe's Most Wanted,2012
madame02sata,Madame Satã,2002
madameb14vary,Madame Bovary,2014
made-up02e-up,Made-Up,2002
made01made,Made,2001
madea's06nion,Madea's Family Reunion,2006
madea's11mily,Madea's Big Happy Family,2011
madea's12tion,Madea's Witness Protection,2012
madeach13tmas,A Madea Christmas,2013
madeago09jail,Madea Goes to Jail,2009
madeind10nham,Made in Dagenham,2010
madeinf15ance,Made in France,2015
mademoi09mbon,Mademoiselle Chambon,2009
mademoi13llec,Mademoiselle C,2013
madeo09adeo,Madeo,2009
madeofh08onor,Made of Honor,2008
madhotb05room,Mad Hot Ballroom,2005
madison01ison,Madison,2001
madmax:15road,Mad Max: Fury Road,2015
madmone08oney,Mad Money,2008
maelstr00trom,Maelström,2000
maend&h15hons,Mænd & høns,2015
maesoha16auma,Mãe Só Há Uma,2016
maestro03stro,Maestro,2003
mafemme01rice,Ma femme est une actrice,2001
mafemme02rice,Ma femme... s'appelle Maurice,2002
magdale02ters,The Magdalene Sisters,2002
maggie'15plan,Maggie's Plan,2015
maggiei15giei,Maggie,2015
magical13erse,Magical Universe,2013
magicia05iani,The Magician,2005
magicia14lles,Magician: The Astonishing Life and Work of Orson Welles,2014
magicin14ight,Magic in the Moonlight,2014
magicmi12mike,Magic Mike,2012
magicmi15exxl,Magic Mike XXL,2015
magicof12isle,The Magic of Belle Isle,2012
magictr11lace,Magic Trip: Ken Kesey's Search for a Kool Place,2011
magnifi16even,The Magnificent Seven,2016
magnus16gnus,Magnus,2016
mahaval01atur,Mávahlátur,2001
maidan14idan,Maidan,2014
maident13trip,Maidentrip,2013
maidinm02ttan,Maid in Manhattan,2002
mailord03ride,Mail Order Bride,2003
mailord04wife,Mail Order Wife,2004
mainstr10reet,Main Street,2010
maising15sing,Mai sing,2015
maiwei11iwei,Mai wei,2011
majesti01stic,The Majestic,2001
makebel10ieve,Make Believe,2010
makeyou13move,Make Your Move,2013
makingg04race,Making Grace,2004
makingr15unds,Making Rounds,2015
makingt11boys,Making the Boys,2011
maladie12dies,Maladies,2012
malamal14mala,Mala Mala,2014
malefic14cent,Maleficent,2014
malena00lena,Malèna,2000
malevol04ence,Malevolence,2004
malibu'03nted,Malibu's Most Wanted,2003
mama15mama,Ma ma,2015
mamaafr02rica,Mama Africa,2002
mamai13amai,Mama,2013
mamboit03iano,Mambo Italiano,2003
mamere04mere,Ma mère,2004
mamitas11itas,Mamitas,2011
mammami08mia!,Mamma Mia!,2008
mammoth09moth,Mammoth,2009
man05man,The Man,2005
managem08ment,Management,2008
manakam13mana,Manakamana,2013
manapar03part,A Man Apart,2003
manchen06nija,Man cheng jin dai huang jin jia,2006
manches16esea,Manchester by the Sea,2016
manchur04date,The Manchurian Candidate,2004
mandaba07let],Manda Bala [Send a Bullet],2007
mandari13inid,Mandariinid,2013
mandela13edom,Mandela: Long Walk to Freedom,2013
manderl05rlay,Manderlay,2005
manfrom01elds,The Man from Elysian Fields,2001
manfrom14reno,Man from Reno,2014
manfrom15l.e.,The Man from U.N.C.L.E.,2015
mangjin03jing,Mang jing,2003
mangleh14horn,Manglehorn,2014
mangsha07shan,Mang shan,2007
maniac12niac,Maniac,2012
manic01anic,Manic,2001
manito02nito,Manito,2002
mannafr02aven,Manna from Heaven,2002
manname06earl,A Man Named Pearl,2006
mannerw04ewir,Männer wie wir,2004
mannobo11olby,"The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby",2011
manofst13teel,Man of Steel,2013
manofta13ichi,Man of Tai Chi,2013
manofth05usei,Man of the House,2005
manofth06year,Man of the Year,2006
manonal12edge,Man on a Ledge,2012
manonam10tars,Man on a Mission: Richard Garriott's Road to the Stars,2010
manonfi04fire,Man on Fire,2004
manonth11rain,Man on the Train,2011
manonwi08wire,Man on Wire,2008
manpush05cart,Man Push Cart,2005
manqana12robs,"Manqana, romelic kvelafers gaaqrobs",2012
mansome12some,Mansome,2012
mansomh09nnor,Män som hatar kvinnor,2009
mansonf97mily,The Manson Family,1997
manufac06apes,Manufactured Landscapes,2006
manwhoc00ried,The Man Who Cried,2000
manwhok15nity,The Man Who Knew Infinity,2015
manwhow01here,The Man Who Wasn't There,2001
manwith12ists,The Man with the Iron Fists,2012
mao'sla09ncer,Mao's Last Dancer,2009
mapart11teau,Ma part du gâteau,2011
mapstot14tars,Maps to the Stars,2014
maraden04troi,Mar adentro,2004
maratho02thon,Marathon,2002
marcix03rcix,Marci X,2003
marcpea09ence,The Marc Pease Experience,2009
marebit04bito,Marebito,2004
margare00want,Margaret Cho: I'm the One That I Want,2000
margare02h.o.,Margaret Cho: Notorious C.H.O.,2002
margare05ssin,Margaret Cho: Assassin,2005
margare11reti,Margaret,2011
marginc11call,Margin Call,2011
margota07ding,Margot at the Wedding,2007
marguer15lien,Marguerite et Julien,2015
marguer15rite,Marguerite,2015
mariafu04race,Maria Full of Grace,2004
mariala08lick,Maria Larssons eviga ögonblick,2008
mariean06ette,Marie Antoinette,2006
mariehe14rtin,Marie Heurtin,2014
marilyn05hool,Marilyn Hotchkiss' Ballroom Dancing & Charm School,2005
marinaa12sent,Marina Abramovic: The Artist Is Present,2012
marine06rine,The Marine,2006
marinon15rame,Marinoni: The Fire in the Frame,2015
marius13rius,Marius,2013
marley&08y&me,Marley & Me,2008
marley12rley,Marley,2012
marlonb02idge,Marion Bridge,2002
marmadu10duke,Marmaduke,2010
married07life,Married Life,2007
marsnee11moms,Mars Needs Moms,2011
martham11lene,Martha Marcy May Marlene,2011
"marti,d10ciun","Marti, dupã Crãciun",2010
martian07hild,Martian Child,2007
martian15tian,The Martian,2015
martinl02ldat,Martin Lawrence Live: Runteldat,2002
marwenc10ncol,Marwencol,2010
maryam02ryam,Maryam,2002
maryi05aryi,Mary,2005
marylan15land,Maryland,2015
maskeda03mous,Masked and Anonymous,2003
maskeds16aint,The Masked Saint,2016
massa'o03desh,Massa'ot James Be'eretz Hakodesh,2003
massai-04luie,Massai - Les guerriers de la pluie,2004
massoud98ghan,"Massoud, l'Afghan",1998
master12ster,The Master,2012
mastera03orld,Master and Commander: The Far Side of the World,2003
masterb13lder,A Master Builder,2013
masterm16ndsi,Masterminds,2016
mastero02game,Master of the Game,2002
mastero02uise,The Master of Disguise,2002
matador05ador,The Matador,2005
matador08ador,The Matador,2008
matando04abos,Matando Cabos,2004
match14atch,Match,2014
matchpo05oint,Match Point,2005
matchst03kmen,Matchstick Men,2003
materia06irls,Material Girls,2006
matrixr03aded,The Matrix Reloaded,2003
matrixr03ions,The Matrix Revolutions,2003
matruki13dola,Matru ki Bijlee ka Mandola,2013
matthew06aint,Matthew Barney: No Restraint,2006
maurice05hard,Maurice Richard,2005
maxedou06ders,"Maxed Out: Hard Times, Easy Credit and the Era of Predatory Lenders",2006
maxi02maxi,Max,2002
maxi15maxi,Max,2015
maximum16idei,Maximum Ride,2016
maxkeeb01move,Max Keeble's Big Move,2001
maxpayn08ayne,Max Payne,2008
maxrose13rose,Max Rose,2013
maxstee16teel,Max Steel,2016
may02may,May,2002
mayaang16rise,Maya Angelou and Still I Rise,2016
maybeba00baby,Maybe Baby,2000
mayinth13mmer,May in the Summer,2013
mayorof03trip,Mayor of the Sunset Strip,2003
maze00maze,Maze,2000
mazerun14nner,The Maze Runner,2014
mazerun15ials,Maze Runner: The Scorch Trials,2015
mc5*:at02nial,MC5*: A True Testimonial,2002
mccanic13nick,McCanick,2013
"mcfarla15,usa","McFarland, USA",2015
mclibel05ibel,McLibel,2005
"me,myse00rene","Me, Myself & Irene",2000
meadowl15land,Meadowland,2015
meancre04reek,Mean Creek,2004
meandea15girl,Me and Earl and the Dying Girl,2015
meandor08lles,Me and Orson Welles,2008
meandyo05know,Me and You and Everyone We Know,2005
meangir04irls,Mean Girls,2004
meanmac01hine,Mean Machine,2001
mebefor16eyou,Me Before You,2016
mechani11anic,The Mechanic,2011
mechani16tion,Mechanic: Resurrection,2016
medalli03lion,The Medallion,2003
meddler15dler,The Meddler,2015
medeas13deas,Medeas,2013
mediane11eras,Medianeras,2011
medicin08holy,Medicine for Melancholy,2008
mediter15anea,Mediterranea,2015
medurat04evet,Medurat Hashevet,2004
meduzot07uzot,Meduzot,2007
meek'sc10toff,Meek's Cutoff,2010
meetdav08dave,Meet Dave,2008
meeting07ance,Meeting Resistance,2007
meeting12evil,Meeting Evil,2012
meetmei14egro,Meet Me in Montenegro,2014
meetmon10lour,Meet Monica Velour,2010
meetthe00ents,Meet the Parents,2000
meetthe04kers,Meet the Fockers,2004
meetthe07sons,Meet the Robinsons,2007
meetthe08owns,Meet the Browns,2008
meetthe08tans,Meet the Spartans,2008
meetthe14mons,Meet the Mormons,2014
meetthe14tels,Meet the Patels,2014
meetthe16acks,Meet the Blacks,2016
megamin10mind,Megamind,2010
megiddo01ode2,Megiddo: The Omega Code 2,2001
meigong16dong,Mei Gong he xing dong,2016
meireny05ijiu,Mei ren yi jiu,2005
meireny16enyu,Mei ren yu,2016
mekongh12otel,Mekong Hotel,2012
melanch04etta,Melancholian 3 huonetta,2004
melanch11olia,Melancholia,2011
melinda04inda,Melinda and Melinda,2004
mememen13rage,Mememe no kurage,2013
memento00ento,Memento,2000
memoirs05isha,Memoirs of a Geisha,2005
memoria15riai,Memoria,2015
memorie05rrow,Memories of Tomorrow,2005
memoryi06ryii,Memory,2006
memphis13hisi,Memphis,2013
memysel99elfi,Me Myself I,1999
"men,wom14dren","Men, Women & Children",2014
menatlu12unch,Men at Lunch,2012
mendy03endy,Mendy,2003
mengoto15ttle,Men Go to Battle,2015
mengyin04nian,Meng ying tong nian,2004
meninbl02ckii,Men in Black II,2002
meninbl12ack3,Men in Black 3,2012
menofho00onor,Men of Honor,2000
mental12ntal,Mental,2012
menudeg13acio,Menú degustació,2013
menwhos09oats,The Men Who Stare at Goats,2009
mercede13rica,Mercedes Sosa: La voz de Latinoamérica,2013
merchan04nice,The Merchant of Venice,2004
merchan14oubt,Merchants of Doubt,2014
mercido02rrey,Merci Docteur Rey,2002
mercipo00olat,Merci pour le chocolat,2000
mercyi09rcyi,Mercy,2009
mercyst00eets,Mercy Streets,2000
merebro11lhan,Mere Brother Ki Dulhan,2011
merelle12mann,Mer eller mindre mann,2012
merryge08eman,The Merry Gentleman,2008
meru15meru,Meru,2015
meskada10kada,Meskada,2010
mesmeri02rist,The Mesmerist,2002
messeng07gers,The Messengers,2007
messeng09geri,The Messenger,2009
messeng15riii,The Messenger,2015
metalli04ster,Metallica: Some Kind of Monster,2004
metalli13ever,Metallica Through the Never,2013
metorop01risu,Metoroporisu,2001
mewitho01tyou,Me Without You,2001
mexican01ican,The Mexican,2001
meyouan15ucks,Me You and Five Bucks,2015
mgamunt02inig,Mga munting tinig,2002
miaetle08igou,Mia et le Migou,2008
miamadr15adre,Mia madre,2015
